Elo	Username	W	L	T	Last update
NaN	Username	NaN	NaN	NaN	Last update
1045	mummypikachu	1	1	0	Sun Mar 29 2026 14:31:05 GMT-0400 (Eastern Daylight Time)
1045	warpingstar	1	0	0	Fri Mar 27 2026 18:32:30 GMT-0400 (Eastern Daylight Time)
1000	oijabadfijo	0	1	0	Sun Mar 29 2026 14:31:05 GMT-0400 (Eastern Daylight Time)
